controllerid,room_id,room_name,equip_id,equipment_name,equipment_type,timestamp,unit,value
AA1610M1139700010,340,,11118,Bird scale  House 3,BirdWeighing,2019-01-01 05:00:00+00:00,Percent,100.0
AA1610M1139700010,87,,655,Bird Scale House 1,BirdWeighing,2019-01-01 06:00:00+00:00,Percent,100.0
AA1610M1139700010,274,,6634, Bird Scale House 2,BirdWeighing,2019-01-01 06:00:00+00:00,Percent,100.0
AA1610M1139700010,392,,658,Bird Scale House 4,BirdWeighing,2019-01-01 06:10:00+00:00,Percent,100.0
AA1610M1139700010,87,,655,Bird Scale House 1,BirdWeighing,2019-01-01 11:00:00+00:00,Percent,95.0
AA1610M1139700010,87,,655,Bird Scale House 1,BirdWeighing,2019-01-01 11:25:00+00:00,Percent,96.0
AA1610M1139700010,87,,655,Bird Scale House 1,BirdWeighing,2019-01-01 11:45:00+00:00,Percent,97.0
AA1610M1139700010,87,,655,Bird Scale House 1,BirdWeighing,2019-01-01 11:55:00+00:00,Percent,95.0
AA1610M1139700010,87,,655,Bird Scale House 1,BirdWeighing,2019-01-01 12:00:00+00:00,Percent,96.0
AA1610M1139700010,87,,655,Bird Scale House 1,BirdWeighing,2019-01-01 12:05:00+00:00,Percent,94.0
AA1610M1139700010,87,,655,Bird Scale House 1,BirdWeighing,2019-01-01 12:15:00+00:00,Percent,93.0
AA1610M1139700010,87,,655,Bird Scale House 1,BirdWeighing,2019-01-01 12:25:00+00:00,Percent,92.0
AA1610M1139700010,87,,655,Bird Scale House 1,BirdWeighing,2019-01-01 12:35:00+00:00,Percent,90.0
AA1610M1139700010,87,,655,Bird Scale House 1,BirdWeighing,2019-01-01 12:45:00+00:00,Percent,89.0
AA1610M1139700010,87,,655,Bird Scale House 1,BirdWeighing,2019-01-01 12:55:00+00:00,Percent,89.0
AA1610M1139700010,87,,655,Bird Scale House 1,BirdWeighing,2019-01-01 13:00:00+00:00,Percent,92.0
AA1610M1139700010,87,,655,Bird Scale House 1,BirdWeighing,2019-01-01 13:05:00+00:00,Percent,93.0
AA1610M1139700010,87,,655,Bird Scale House 1,BirdWeighing,2019-01-01 13:10:00+00:00,Percent,91.0
AA1610M1139700010,87,,655,Bird Scale House 1,BirdWeighing,2019-01-01 13:20:00+00:00,Percent,90.0
AA1610M1139700010,87,,655,Bird Scale House 1,BirdWeighing,2019-01-01 13:30:00+00:00,Percent,90.0
AA1610M1139700010,87,,655,Bird Scale House 1,BirdWeighing,2019-01-01 13:35:00+00:00,Percent,88.0
AA1610M1139700010,87,,655,Bird Scale House 1,BirdWeighing,2019-01-01 13:40:00+00:00,Percent,87.0
AA1610M1139700010,87,,655,Bird Scale House 1,BirdWeighing,2019-01-01 13:45:00+00:00,Percent,87.0
