controllerid,room_id,room_name,timestamp,unit,bandwidth
AA1610M1139700010,87,House 1,2019-01-01 15:05:00+00:00,Fahrenheit,5.0
AA1610M1139700010,87,House 1,2019-01-01 15:15:00+00:00,Fahrenheit,8.0
AA1610M1139700010,340,House 3,2019-01-01 16:15:00+00:00,Fahrenheit,5.0
AA1610M1139700010,87,House 1,2019-01-01 16:15:00+00:00,Fahrenheit,5.0
AA1610M1139700010,392,House 4,2019-01-01 16:30:00+00:00,Fahrenheit,5.0
AA1610M1139700010,274,House 2,2019-01-01 16:35:00+00:00,Fahrenheit,5.0
AA1610M1139700010,392,House 4,2019-01-01 16:45:00+00:00,Fahrenheit,8.0
AA1610M1139700010,274,House 2,2019-01-01 16:55:00+00:00,Fahrenheit,8.0
AA1610M1139700010,274,House 2,2019-01-01 17:05:00+00:00,Fahrenheit,5.0
AA1610M1139700010,392,House 4,2019-01-01 17:30:00+00:00,Fahrenheit,5.0
AA1610M1139700010,392,House 4,2019-01-01 18:25:00+00:00,Fahrenheit,8.0
AA1610M1139700010,392,House 4,2019-01-01 18:35:00+00:00,Fahrenheit,5.0
AA1610M1139700010,392,House 4,2019-01-01 19:05:00+00:00,Fahrenheit,8.0
AA1610M1139700010,274,House 2,2019-01-01 20:25:00+00:00,Fahrenheit,8.0
AA1610M1139700010,340,House 3,2019-01-01 20:35:00+00:00,Fahrenheit,8.0
AA1610M1139700010,87,House 1,2019-01-01 21:05:00+00:00,Fahrenheit,8.0
AA1610M1139700010,87,House 1,2019-01-06 18:50:00+00:00,Fahrenheit,5.0
AA1610M1139700010,87,House 1,2019-01-06 19:00:00+00:00,Fahrenheit,8.0
AA1610M1139700010,87,House 1,2019-01-08 16:40:00+00:00,Fahrenheit,5.0
AA1610M1139700010,87,House 1,2019-01-08 16:50:00+00:00,Fahrenheit,8.0
AA1610M1139700010,340,House 3,2019-01-08 17:05:00+00:00,Fahrenheit,5.0
AA1610M1139700010,392,House 4,2019-01-08 17:05:00+00:00,Fahrenheit,5.0
AA1610M1139700010,87,House 1,2019-01-08 17:05:00+00:00,Fahrenheit,5.0
AA1610M1139700010,392,House 4,2019-01-08 17:15:00+00:00,Fahrenheit,8.0
AA1610M1139700010,340,House 3,2019-01-08 17:15:00+00:00,Fahrenheit,8.0
AA1610M1139700010,87,House 1,2019-01-08 17:15:00+00:00,Fahrenheit,8.0
AA1610M1139700010,87,House 1,2019-01-08 17:30:00+00:00,Fahrenheit,5.0
AA1610M1139700010,87,House 1,2019-01-08 17:40:00+00:00,Fahrenheit,8.0
AA1610M1139700010,87,House 1,2019-01-08 17:50:00+00:00,Fahrenheit,5.0
AA1610M1139700010,87,House 1,2019-01-08 18:05:00+00:00,Fahrenheit,8.0
AA1610M1139700010,87,House 1,2019-01-08 18:15:00+00:00,Fahrenheit,5.0
AA1610M1139700010,87,House 1,2019-01-08 18:45:00+00:00,Fahrenheit,8.0
AA1610M1139700010,274,House 2,2019-01-08 19:40:00+00:00,Fahrenheit,5.0
AA1610M1139700010,274,House 2,2019-01-08 19:50:00+00:00,Fahrenheit,8.0
AA1610M1139700010,87,House 1,2019-01-08 20:55:00+00:00,Fahrenheit,8.0
AA1610M1139700010,1385,Outside,2019-01-09 15:10:00+00:00,Fahrenheit,0.0
AA1610M1139700010,392,House 4,2019-01-09 15:10:00+00:00,Fahrenheit,8.0
AA1610M1139700010,340,House 3,2019-01-09 15:10:00+00:00,Fahrenheit,8.0
AA1610M1139700010,87,House 1,2019-01-09 15:10:00+00:00,Fahrenheit,8.0
AA1610M1139700010,274,House 2,2019-01-09 15:10:00+00:00,Fahrenheit,8.0
AA1610M1139700010,1385,Outside,2019-01-09 16:47:00+00:00,Fahrenheit,0.0
AA1610M1139700010,340,House 3,2019-01-09 16:47:00+00:00,Fahrenheit,7.0
AA1610M1139700010,87,House 1,2019-01-09 16:47:00+00:00,Fahrenheit,7.0
AA1610M1139700010,274,House 2,2019-01-09 16:47:00+00:00,Fahrenheit,7.0
AA1610M1139700010,392,House 4,2019-01-09 16:47:00+00:00,Fahrenheit,7.0
AA1610M1139700010,87,House 1,2019-01-09 21:12:00+00:00,Fahrenheit,7.0
AA1610M1139700010,87,House 1,2019-01-09 21:21:00+00:00,Fahrenheit,7.0
AA1610M1139700010,392,House 4,2019-01-09 21:21:00+00:00,Fahrenheit,7.0
AA1610M1139700010,340,House 3,2019-01-09 21:21:00+00:00,Fahrenheit,7.0
AA1610M1139700010,1385,Outside,2019-01-09 21:21:00+00:00,Fahrenheit,0.0
AA1610M1139700010,274,House 2,2019-01-09 21:21:00+00:00,Fahrenheit,7.0
AA1610M1139700010,392,House 4,2019-01-10 16:13:00+00:00,Fahrenheit,7.0
AA1610M1139700010,274,House 2,2019-01-10 16:13:00+00:00,Fahrenheit,7.0
AA1610M1139700010,1385,Outside,2019-01-10 16:13:00+00:00,Fahrenheit,0.0
AA1610M1139700010,87,House 1,2019-01-10 16:13:00+00:00,Fahrenheit,7.0
AA1610M1139700010,340,House 3,2019-01-10 16:13:00+00:00,Fahrenheit,7.0
AA1610M1139700010,1385,Outside,2019-01-10 18:23:00+00:00,Fahrenheit,0.0
AA1610M1139700010,340,House 3,2019-01-10 19:37:00+00:00,Fahrenheit,7.0
AA1610M1139700010,87,House 1,2019-01-10 19:37:00+00:00,Fahrenheit,7.0
AA1610M1139700010,274,House 2,2019-01-10 19:37:00+00:00,Fahrenheit,7.0
AA1610M1139700010,1385,Outside,2019-01-10 19:37:00+00:00,Fahrenheit,0.0
AA1610M1139700010,392,House 4,2019-01-10 19:37:00+00:00,Fahrenheit,7.0
AA1610M1139700010,1385,Outside,2019-01-10 20:04:00+00:00,Fahrenheit,0.0
AA1610M1139700010,87,House 1,2019-01-10 20:04:00+00:00,Fahrenheit,7.0
AA1610M1139700010,340,House 3,2019-01-10 20:04:00+00:00,Fahrenheit,7.0
AA1610M1139700010,274,House 2,2019-01-10 20:04:00+00:00,Fahrenheit,7.0
AA1610M1139700010,392,House 4,2019-01-10 20:04:00+00:00,Fahrenheit,7.0
AA1610M1139700010,87,House 1,2019-01-18 19:09:00+00:00,Fahrenheit,5.0
AA1610M1139700010,87,House 1,2019-01-18 19:19:00+00:00,Fahrenheit,7.0
AA1610M1139700010,392,House 4,2019-01-19 18:39:00+00:00,Fahrenheit,5.0
AA1610M1139700010,340,House 3,2019-01-19 18:49:00+00:00,Fahrenheit,5.0
AA1610M1139700010,392,House 4,2019-01-19 18:49:00+00:00,Fahrenheit,7.0
AA1610M1139700010,340,House 3,2019-01-19 18:59:00+00:00,Fahrenheit,7.0
AA1610M1139700010,392,House 4,2019-01-23 22:16:00+00:00,Fahrenheit,7.0
AA1610M1139700010,274,House 2,2019-01-23 22:16:00+00:00,Fahrenheit,7.0
AA1610M1139700010,340,House 3,2019-01-23 22:16:00+00:00,Fahrenheit,7.0
AA1610M1139700010,1385,Outside,2019-01-23 22:16:00+00:00,Fahrenheit,0.0
AA1610M1139700010,87,House 1,2019-01-23 22:16:00+00:00,Fahrenheit,7.0
AA1610M1139700010,1385,Outside,2019-01-26 23:00:00+00:00,Fahrenheit,0.0
AA1610M1139700010,274,House 2,2019-01-26 23:00:00+00:00,Fahrenheit,7.0
AA1610M1139700010,392,House 4,2019-01-26 23:00:00+00:00,Fahrenheit,7.0
AA1610M1139700010,87,House 1,2019-01-26 23:00:00+00:00,Fahrenheit,7.0
AA1610M1139700010,340,House 3,2019-01-26 23:00:00+00:00,Fahrenheit,7.0
AA1610M1139700010,1385,Outside,2019-02-02 04:42:00+00:00,Fahrenheit,0.0
AA1610M1139700010,87,House 1,2019-02-02 04:42:00+00:00,Fahrenheit,7.0
AA1610M1139700010,274,House 2,2019-02-02 04:42:00+00:00,Fahrenheit,7.0
AA1610M1139700010,340,House 3,2019-02-02 04:42:00+00:00,Fahrenheit,7.0
AA1610M1139700010,392,House 4,2019-02-02 04:42:00+00:00,Fahrenheit,7.0
AA1610M1139700010,274,House 2,2019-02-02 19:24:00+00:00,Fahrenheit,7.0
AA1610M1139700010,1385,Outside,2019-02-02 19:24:00+00:00,Fahrenheit,0.0
AA1610M1139700010,340,House 3,2019-02-06 21:59:00+00:00,Fahrenheit,10.0
AA1610M1139700010,274,House 2,2019-02-06 21:59:00+00:00,Fahrenheit,10.0
AA1610M1139700010,392,House 4,2019-02-06 21:59:00+00:00,Fahrenheit,10.0
AA1610M1139700010,87,House 1,2019-02-06 21:59:00+00:00,Fahrenheit,10.0
AA1610M1139700010,392,House 4,2019-02-15 14:48:00+00:00,Fahrenheit,10.0
AA1610M1139700010,392,House 4,2019-02-15 14:48:00+00:00,Fahrenheit,10.0
AA1610M1139700010,1385,Outside,2019-02-15 14:48:00+00:00,Fahrenheit,0.0
AA1610M1139700010,87,House 1,2019-02-15 14:48:00+00:00,Fahrenheit,10.0
AA1610M1139700010,274,House 2,2019-02-15 14:48:00+00:00,Fahrenheit,10.0
AA1610M1139700010,340,House 3,2019-02-15 14:48:00+00:00,Fahrenheit,10.0
AA1610M1139700010,1385,Outside,2019-02-15 14:48:00+00:00,Fahrenheit,0.0
AA1610M1139700010,87,House 1,2019-02-15 17:08:00+00:00,Fahrenheit,10.0
AA1610M1139700010,340,House 3,2019-02-15 17:08:00+00:00,Fahrenheit,10.0
AA1610M1139700010,274,House 2,2019-02-15 17:08:00+00:00,Fahrenheit,10.0
AA1610M1139700010,392,House 4,2019-02-15 17:08:00+00:00,Fahrenheit,10.0
AA1610M1139700010,1385,Outside,2019-02-15 17:08:00+00:00,Fahrenheit,0.0
AA1610M1139700010,340,House 3,2019-02-15 17:08:00+00:00,Fahrenheit,10.0
AA1610M1139700010,87,House 1,2019-02-15 17:08:00+00:00,Fahrenheit,10.0
AA1610M1139700010,392,House 4,2019-02-15 17:08:00+00:00,Fahrenheit,10.0
AA1610M1139700010,274,House 2,2019-02-15 17:08:00+00:00,Fahrenheit,10.0
AA1610M1139700010,1385,Outside,2019-02-15 17:08:00+00:00,Fahrenheit,0.0
AA1610M1139700010,87,House 1,2019-02-16 18:38:00+00:00,Fahrenheit,6.0
AA1610M1139700010,87,House 1,2019-02-16 18:38:00+00:00,Fahrenheit,6.0
AA1610M1139700010,274,House 2,2019-02-16 18:43:00+00:00,Fahrenheit,6.0
AA1610M1139700010,340,House 3,2019-02-16 18:43:00+00:00,Fahrenheit,6.0
AA1610M1139700010,274,House 2,2019-02-16 18:43:00+00:00,Fahrenheit,6.0
AA1610M1139700010,392,House 4,2019-02-16 18:43:00+00:00,Fahrenheit,6.0
AA1610M1139700010,340,House 3,2019-02-16 18:43:00+00:00,Fahrenheit,6.0
AA1610M1139700010,392,House 4,2019-02-16 18:43:00+00:00,Fahrenheit,6.0
AA1610M1139700010,274,House 2,2019-02-17 21:13:00+00:00,Fahrenheit,5.899990081787109
AA1610M1139700010,274,House 2,2019-02-17 21:13:00+00:00,Fahrenheit,5.899990081787109
AA1610M1139700010,340,House 3,2019-02-17 21:23:00+00:00,Fahrenheit,5.899990081787109
AA1610M1139700010,340,House 3,2019-02-17 21:23:00+00:00,Fahrenheit,5.899990081787109
AA1610M1139700010,392,House 4,2019-02-17 21:28:00+00:00,Fahrenheit,5.899990081787109
AA1610M1139700010,392,House 4,2019-02-17 21:28:00+00:00,Fahrenheit,5.899990081787109
AA1610M1139700010,340,House 3,2019-02-17 23:48:00+00:00,Fahrenheit,6.0
AA1610M1139700010,340,House 3,2019-02-17 23:48:00+00:00,Fahrenheit,6.0
AA1610M1139700010,392,House 4,2019-02-17 23:53:00+00:00,Fahrenheit,6.0
AA1610M1139700010,274,House 2,2019-02-17 23:53:00+00:00,Fahrenheit,6.0
AA1610M1139700010,392,House 4,2019-02-17 23:53:00+00:00,Fahrenheit,6.0
AA1610M1139700010,274,House 2,2019-02-17 23:53:00+00:00,Fahrenheit,6.0
AA1610M1139700010,340,House 3,2019-02-22 23:03:00+00:00,Fahrenheit,6.100009918212891
AA1610M1139700010,1385,Outside,2019-02-22 23:03:00+00:00,Fahrenheit,0.0
AA1610M1139700010,340,House 3,2019-02-22 23:03:00+00:00,Fahrenheit,6.100009918212891
AA1610M1139700010,392,House 4,2019-02-22 23:03:00+00:00,Fahrenheit,6.0
AA1610M1139700010,392,House 4,2019-02-22 23:03:00+00:00,Fahrenheit,6.0
AA1610M1139700010,1385,Outside,2019-02-22 23:03:00+00:00,Fahrenheit,0.0
AA1610M1139700010,87,House 1,2019-02-22 23:03:00+00:00,Fahrenheit,6.100009918212891
AA1610M1139700010,274,House 2,2019-02-22 23:03:00+00:00,Fahrenheit,6.0
AA1610M1139700010,274,House 2,2019-02-22 23:03:00+00:00,Fahrenheit,6.0
AA1610M1139700010,87,House 1,2019-02-22 23:03:00+00:00,Fahrenheit,6.100009918212891
AA1610M1139700010,274,House 2,2019-03-06 17:38:00+00:00,Fahrenheit,7.300000190734863
AA1610M1139700010,274,House 2,2019-03-06 17:38:00+00:00,Fahrenheit,7.300000190734863
AA1610M1139700010,392,House 4,2019-03-06 17:38:00+00:00,Fahrenheit,7.300000190734863
AA1610M1139700010,340,House 3,2019-03-06 17:38:00+00:00,Fahrenheit,7.0
AA1610M1139700010,340,House 3,2019-03-06 17:38:00+00:00,Fahrenheit,7.0
AA1610M1139700010,392,House 4,2019-03-06 17:38:00+00:00,Fahrenheit,7.300000190734863
AA1610M1139700010,274,House 2,2019-03-07 20:10:00+00:00,Fahrenheit,7.300000190734863
AA1610M1139700010,392,House 4,2019-03-07 20:10:00+00:00,Fahrenheit,7.300000190734863
AA1610M1139700010,87,House 1,2019-03-07 20:10:00+00:00,Fahrenheit,6.0
AA1610M1139700010,1385,Outside,2019-03-07 20:10:00+00:00,Fahrenheit,0.0
AA1610M1139700010,274,House 2,2019-03-07 20:10:00+00:00,Fahrenheit,7.300000190734863
AA1610M1139700010,1385,Outside,2019-03-07 20:10:00+00:00,Fahrenheit,0.0
AA1610M1139700010,392,House 4,2019-03-07 20:10:00+00:00,Fahrenheit,7.300000190734863
AA1610M1139700010,340,House 3,2019-03-07 20:10:00+00:00,Fahrenheit,7.0
AA1610M1139700010,87,House 1,2019-03-07 20:10:00+00:00,Fahrenheit,6.0
AA1610M1139700010,340,House 3,2019-03-07 20:10:00+00:00,Fahrenheit,7.0
AA1610M1139700010,87,House 1,2019-03-10 17:55:00+00:00,Fahrenheit,9.0
AA1610M1139700010,340,House 3,2019-03-10 17:55:00+00:00,Fahrenheit,8.0
AA1610M1139700010,274,House 2,2019-03-10 17:55:00+00:00,Fahrenheit,8.0
AA1610M1139700010,392,House 4,2019-03-10 17:55:00+00:00,Fahrenheit,8.0
AA1610M1139700010,392,House 4,2019-03-10 17:55:00+00:00,Fahrenheit,8.0
AA1610M1139700010,340,House 3,2019-03-10 17:55:00+00:00,Fahrenheit,8.0
AA1610M1139700010,274,House 2,2019-03-10 17:55:00+00:00,Fahrenheit,8.0
AA1610M1139700010,87,House 1,2019-03-10 17:55:00+00:00,Fahrenheit,9.0
AA1610M1139700010,392,House 4,2019-03-10 18:00:00+00:00,Fahrenheit,9.0
AA1610M1139700010,340,House 3,2019-03-10 18:00:00+00:00,Fahrenheit,9.0
AA1610M1139700010,340,House 3,2019-03-10 18:00:00+00:00,Fahrenheit,9.0
AA1610M1139700010,274,House 2,2019-03-10 18:00:00+00:00,Fahrenheit,9.0
AA1610M1139700010,274,House 2,2019-03-10 18:00:00+00:00,Fahrenheit,9.0
AA1610M1139700010,392,House 4,2019-03-10 18:00:00+00:00,Fahrenheit,9.0
AA1610M1139700010,392,House 4,2019-03-15 14:28:00+00:00,Fahrenheit,9.0
AA1610M1139700010,340,House 3,2019-03-15 14:28:00+00:00,Fahrenheit,9.0
AA1610M1139700010,1385,Outside,2019-03-15 14:28:00+00:00,Fahrenheit,0.0
AA1610M1139700010,274,House 2,2019-03-15 14:28:00+00:00,Fahrenheit,9.0
AA1610M1139700010,87,House 1,2019-03-15 14:28:00+00:00,Fahrenheit,9.0
