controllerid,room_id,room_name,timestamp,unit,intensity
AA1610M1139700010,274,House 2,2019-01-01 05:05:00+00:00,Percent,23.0
AA1610M1139700010,340,House 3,2019-01-01 05:05:00+00:00,Percent,23.0
AA1610M1139700010,87,House 1,2019-01-01 05:05:00+00:00,Percent,23.0
AA1610M1139700010,392,House 4,2019-01-01 05:05:00+00:00,Percent,23.0
AA1610M1139700010,392,House 4,2019-01-01 07:00:00+00:00,Percent,5.0
AA1610M1139700010,340,House 3,2019-01-01 07:00:00+00:00,Percent,5.0
AA1610M1139700010,274,House 2,2019-01-01 07:00:00+00:00,Percent,5.0
AA1610M1139700010,87,House 1,2019-01-01 07:00:00+00:00,Percent,5.0
AA1610M1139700010,274,House 2,2019-01-01 07:05:00+00:00,Percent,0.0
AA1610M1139700010,340,House 3,2019-01-01 07:05:00+00:00,Percent,0.0
AA1610M1139700010,87,House 1,2019-01-01 07:05:00+00:00,Percent,0.0
AA1610M1139700010,392,House 4,2019-01-01 07:05:00+00:00,Percent,0.0
AA1610M1139700010,274,House 2,2019-01-01 10:05:00+00:00,Percent,23.0
AA1610M1139700010,87,House 1,2019-01-01 10:05:00+00:00,Percent,23.0
AA1610M1139700010,340,House 3,2019-01-01 10:05:00+00:00,Percent,23.0
AA1610M1139700010,392,House 4,2019-01-01 10:05:00+00:00,Percent,23.0
AA1610M1139700010,87,House 1,2019-01-01 13:10:00+00:00,Percent,100.0
AA1610M1139700010,274,House 2,2019-01-01 14:00:00+00:00,Percent,100.0
AA1610M1139700010,274,House 2,2019-01-01 14:35:00+00:00,Percent,23.0
AA1610M1139700010,340,House 3,2019-01-01 14:50:00+00:00,Percent,100.0
AA1610M1139700010,340,House 3,2019-01-01 15:25:00+00:00,Percent,23.0
AA1610M1139700010,392,House 4,2019-01-01 15:30:00+00:00,Percent,100.0
AA1610M1139700010,87,House 1,2019-01-01 16:35:00+00:00,Percent,100.0
AA1610M1139700010,87,House 1,2019-01-01 16:50:00+00:00,Percent,23.0
AA1610M1139700010,274,House 2,2019-01-01 17:00:00+00:00,Percent,100.0
AA1610M1139700010,340,House 3,2019-01-01 17:20:00+00:00,Percent,100.0
AA1610M1139700010,274,House 2,2019-01-01 17:20:00+00:00,Percent,23.0
AA1610M1139700010,340,House 3,2019-01-01 17:30:00+00:00,Percent,23.0
AA1610M1139700010,392,House 4,2019-01-02 02:00:00+00:00,Percent,5.0
AA1610M1139700010,340,House 3,2019-01-02 02:00:00+00:00,Percent,5.0
AA1610M1139700010,87,House 1,2019-01-02 02:00:00+00:00,Percent,5.0
AA1610M1139700010,274,House 2,2019-01-02 02:00:00+00:00,Percent,5.0
AA1610M1139700010,340,House 3,2019-01-02 02:05:00+00:00,Percent,0.0
